Viral protein,Human protein,Link,Supplementary,Reference,Useful information
N,G3BP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,DDX21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,RBM28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,RPL36,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,TMPRSS2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,ACE2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,CTSB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,CTLP3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,GOLGA7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,ZDHHC5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Spike,VIM,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,POLA1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,PRIM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,PRIM2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,POLA2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,COLGALT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp1,PKP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp10,AP2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp10,GFER,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp10,ERGIC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp10,AP2M1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp10,GRPEL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp11,TBCA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,SBNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,BCKDK,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,AKAP8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,MYCBP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,SLU7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,RIPK1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,UBAP2L,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,TYSND1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,PDZD11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,PRRC2B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,UBAP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,ZNF318,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,CRTC3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,USP54,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,ZC3H7A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,LARP4B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,RBM41,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,TCF12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,PPIL3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp12,PLEKHA5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,TBKBP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CIT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,HSBP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,PCNT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP43,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,PRKAR2A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,PRKACA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,PRKAR2B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,RDX,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CENPF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,TLE1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,TLE3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,TLE5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GOLGA3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GOLGA2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GOLGB1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GRIPAP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP350,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,PDE4DIP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP135,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP68,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CNTRL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,ERC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GCC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CLIP4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,NIN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP112,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,MIPOL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,USP13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GCC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,JAKMIP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CDK5RAP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,AKAP9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,GORASP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,FYCO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,C1Orf50,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,CEP250,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,TBK1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,HOOK1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp13,NINL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp14,GLA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp14,IMPDH2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp14,SIRT5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp15,NUTF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp15,ARF6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp15,RNF41,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,SLC27A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,EIF4E2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,POR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,RAP1GDS1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,WASHC4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,FKBP15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp2,GIGYF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,IDE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,TIMM10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,ALG11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,NUP210,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,TIMM29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,DNAJC11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,TIMM10B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp4,TIMM9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp5,HDAC2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp5_C145A,GPX1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp5_C145A,TRMT1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp6,ATP5MG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp6,ATP6AP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp6,SIGMAR1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp6,ATP13A3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,AGPS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,CYB5B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,ACSL3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,CYB5R3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RALA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,COMT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB5C,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB7A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB8A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB2A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RHOA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB1A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,GNB1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,GNG5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,LMAN2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,MOGS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,TOR1AIP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,MTARC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,QSOX2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,HS2ST1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,NDUFAF2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,SCCPDH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,SCARB1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,NAT14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,DCAKD,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,FAM162A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,DNAJC19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,SELENOS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,PTGES2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp7,RAB18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp8,MPHOSPH10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp8,SRP72,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp8,ATE1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp8,NSD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
Nsp8,SRP19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
